error,nontarget_error_1,nontarget_error_2,nontarget_error_3,nontarget_error_4,nontarget_error_5,setsize,response,target,nontarget_1,nontarget_2,nontarget_3,nontarget_4,nontarget_5,subject
0.473340248,2.522063263,-2.827283742,NaN,NaN,NaN,3,1.9810041,1.507663852,-0.890058972,-0.423139821,NaN,NaN,NaN,2
0.274804524,-0.088204992,0.240940885,NaN,NaN,NaN,3,1.041161667,0.766357143,0.476478338,0.641051276,NaN,NaN,NaN,2
-0.252018107,-0.60746344,1.667130597,NaN,NaN,NaN,3,-0.551022088,-0.29900398,-0.579242764,0.558054255,NaN,NaN,NaN,2
0.104194012,2.442990399,-1.299231259,NaN,NaN,NaN,3,-2.708078849,-2.812272861,-0.132544225,1.1379376,NaN,NaN,NaN,2
-0.544173525,2.489005619,-1.209318662,NaN,NaN,NaN,3,2.62869577,-3.110316012,-0.582741959,0.709688554,NaN,NaN,NaN,2
0.136815081,0.341693065,-2.290470982,NaN,NaN,NaN,3,-1.465203491,-1.602018573,-0.561755213,1.263755417,NaN,NaN,NaN,2
-0.104109047,0.062288223,2.801391485,NaN,NaN,NaN,3,-0.884136451,-0.780027404,-0.410924114,0.958627517,NaN,NaN,NaN,2
0.813437606,1.068745249,-3.000651922,NaN,NaN,NaN,3,-0.74041515,-1.553852756,0.164165049,1.271059117,NaN,NaN,NaN,2
-0.230825727,-0.416489751,-1.469966859,NaN,NaN,NaN,3,-1.937420295,-1.706594568,-1.176955023,1.437899076,NaN,NaN,NaN,2
-0.689098569,-0.677899266,-0.298616221,NaN,NaN,NaN,3,-1.729552956,-1.040454387,-1.203726111,-1.014084588,NaN,NaN,NaN,2
-0.450877451,-1.988397862,-1.683128244,NaN,NaN,NaN,3,-1.022646473,-0.571769022,-1.505522168,-1.352887358,NaN,NaN,NaN,2
-0.271200153,-0.5821636,0.617881148,NaN,NaN,NaN,3,0.516830438,0.788030591,-0.032666581,0.567355793,NaN,NaN,NaN,2
-1.622702716,-0.323187251,2.11378685,NaN,NaN,NaN,3,0.849778241,2.472480957,0.263295495,1.481782545,NaN,NaN,NaN,2
-0.031361024,-1.73416864,-1.061339438,NaN,NaN,NaN,3,-0.125209298,-0.093848274,-0.929688969,-0.593274368,NaN,NaN,NaN,2
0.132258579,2.504865895,-2.640200211,NaN,NaN,NaN,3,1.538989863,1.406731284,-1.119664774,-0.550605174,NaN,NaN,NaN,2
0.622399311,-2.282058912,0.462927004,NaN,NaN,NaN,3,-0.350317397,-0.972716709,-1.316188155,0.056304803,NaN,NaN,NaN,2
-0.117407101,0.605838472,2.620792641,NaN,NaN,NaN,3,-0.884067363,-0.766660262,-0.139114445,0.868362639,NaN,NaN,NaN,2
0.068640573,-0.649539975,-2.121679359,NaN,NaN,NaN,3,-2.218839441,-2.287480014,-1.434189708,0.971333254,NaN,NaN,NaN,2
-0.705561062,2.850080961,-2.415785727,NaN,NaN,NaN,3,1.193980495,1.899541556,-1.119561926,-0.610902616,NaN,NaN,NaN,2
0.257866359,-2.245055419,-1.120531536,NaN,NaN,NaN,3,0.814208344,0.556341985,-0.715423537,-0.153161596,NaN,NaN,NaN,2
-0.322535862,-1.350201157,0.190883561,NaN,NaN,NaN,3,-1.449253054,-1.126717192,-1.399727106,-0.629184747,NaN,NaN,NaN,2
-0.951937705,1.67482978,-2.930788628,NaN,NaN,NaN,3,-1.082776046,-0.130838341,0.296026867,1.134810317,NaN,NaN,NaN,2
-0.890353847,2.395105817,2.878110011,NaN,NaN,NaN,3,1.851826734,2.742180581,-1.018126378,-0.776624281,NaN,NaN,NaN,2
0.020930728,2.608416571,-3.097004837,NaN,NaN,NaN,3,-3.086869472,-3.1078002,-0.239226451,0.049655499,NaN,NaN,NaN,2
-0.057267224,-2.046228374,-1.540175269,NaN,NaN,NaN,3,-2.242890946,-2.185623722,0.997032994,1.250059546,NaN,NaN,NaN,2
0.004303095,-3.049676919,-2.190725336,NaN,NaN,NaN,3,1.40422601,1.399922915,-0.822725454,-0.393249663,NaN,NaN,NaN,2
-0.022654107,-2.597507291,-2.237655194,NaN,NaN,NaN,3,-1.25294225,-1.230288143,1.216367883,1.396293932,NaN,NaN,NaN,2
0.198849925,-1.527498502,0.647203099,NaN,NaN,NaN,3,1.171199834,0.97234991,-0.178149334,0.909201466,NaN,NaN,NaN,2
0.069933983,0.010826139,-1.134272025,NaN,NaN,NaN,3,-2.370200751,-2.440134734,-1.179687306,1.389356265,NaN,NaN,NaN,2
-0.751112485,2.073610234,3.09962649,-2.84407699,-0.112088536,0.312606444,6,1.793401925,2.54451441,-1.208086574,-0.695078446,-0.525337533,0.840656694,1.053004184,2
0.724815537,-0.048416289,0.238588668,0.629945581,1.210963535,1.232062469,6,1.042382202,0.317566665,0.496982957,0.640485435,0.836163892,1.126672868,1.137222336,2
0.095872163,-0.484576134,-0.107595733,0.831463463,2.437131945,2.912175609,6,-0.33622201,-0.432094172,-0.410399072,-0.221908871,0.247620727,1.050454968,1.2879768,2
-0.589314532,-1.634078505,-1.410481386,-1.091594563,-0.482094712,0.441395122,6,-0.581096399,0.008218133,-1.107587452,-0.995788893,-0.836345481,-0.531595556,-0.069850638,2
2.47002828,-1.077720537,0.246253866,1.119417005,2.094978382,3.124380802,6,-0.959038584,2.854118444,-1.018379561,-0.356392359,0.08018921,0.567969899,1.082671109,2
0.497462678,0.191505482,0.971398172,1.11682679,2.106487476,2.853606925,6,-2.491880385,-2.989343063,-1.150187451,-0.760241107,-0.687526797,-0.192696454,0.18086327,2
-1.522095886,-2.718611902,-1.526180097,-0.464107941,-0.316403671,0.349695951,6,-0.154792222,1.367303664,-1.436702062,-0.84048616,-0.309450081,-0.235597947,0.097451865,2
2.880318409,0.960461672,2.209771352,2.589240512,2.650478362,-1.323236439,6,2.492566697,-0.387751712,-1.415078469,-0.790423629,-0.600689049,-0.570070124,0.584665129,2
-2.395638108,-1.135672616,-0.835358343,-0.644382209,2.567052871,2.936300819,6,-1.73893839,0.656699717,-1.437305503,-1.287148367,-1.191660299,0.41405724,0.598681214,2
-0.73891256,-0.866812779,0.826158813,1.174883494,-2.448373695,-1.844138382,6,-1.388377047,-0.649464487,-1.127594913,-0.281109117,-0.106746777,1.223217282,1.525334939,2
-2.144404407,2.479267478,-1.066673258,-0.884981551,-0.506901208,1.153349492,6,0.762354136,2.906758542,-1.520781847,-0.152159561,-0.061313708,0.127726464,0.957851814,2
0.281987504,1.419661298,2.596941886,2.643951225,2.655027367,-2.302638412,6,2.275101593,1.99311409,-1.294211208,-0.705570914,-0.682066245,-0.676528173,-0.01376841,2
0.348383772,-1.072289863,1.137736845,1.333972468,-2.86817629,-2.828040168,6,-2.060753653,-2.409137425,-1.566521758,-0.461508404,-0.363390592,0.677127682,0.697195743,2
0.129876392,2.940301943,-2.99606185,-2.603360881,-1.447084996,1.078448371,6,0.808077088,0.678200696,-1.267403138,-1.093992381,-0.897641897,-0.319503954,0.94326273,2
0.767177328,1.446615173,1.512295154,-2.493578615,0.101417364,0.675863694,6,2.02517926,1.258001933,-1.405695437,-1.372855446,-0.234199677,1.063298312,1.350521477,2
-0.069667771,0.920185697,2.134514527,3.071631349,-1.486686968,-0.11897211,6,-3.128853972,-3.059186201,-1.104334138,-0.497169722,-0.028611311,0.833822183,1.517679612,2
-0.601436982,-2.010109338,-0.842142931,-0.234114844,0.852827132,1.210520682,6,-0.931119305,-0.329682323,-1.470614321,-0.886631118,-0.582617075,-0.039146087,0.139700689,2
0.036848681,2.031079418,-2.825866363,-1.163869003,0.289203716,0.760332333,6,1.140582181,1.103733499,-1.555761854,-0.842642091,-0.011643411,0.714892948,0.950457257,2
-0.019996252,1.080849266,-2.319077008,-1.793338746,-0.74287216,0.161477177,6,2.188982332,2.208978584,-1.506676854,-0.065047338,0.197821793,0.723055086,1.175229754,2
