response,pairA_1,pairA_2,pairB_1,pairB_2,subject
1,0.261799388,0.785398163,2.268928028,3.926990817,2
1,3.926990817,5.323254219,0.436332313,2.181661565,2
0,0.174532925,4.71238898,5.323254219,6.108652382,2
1,2.268928028,2.967059728,4.71238898,6.021385919,2
0,2.792526803,4.537856055,0.785398163,0.872664626,2
1,2.530727415,2.967059728,0.610865238,1.308996939,2
0,0.087266463,2.792526803,3.665191429,4.01425728,2
1,1.134464014,1.396263402,4.799655443,5.585053606,2
0,4.01425728,5.061454831,0.610865238,3.577924967,2
1,0.872664626,0.959931089,2.094395102,5.148721293,2
1,4.101523742,5.759586532,0.174532925,2.792526803,2
1,0.34906585,1.221730476,1.396263402,2.094395102,2
0,3.577924967,5.148721293,5.323254219,6.195918845,2
1,3.054326191,3.490658504,1.745329252,2.268928028,2
0,3.490658504,5.585053606,3.228859116,3.403392041,2
1,4.799655443,5.148721293,0,0.959931089,2
0,1.919862177,3.752457892,4.974188368,5.061454831,2
0,1.658062789,3.926990817,5.672320069,5.846852994,2
1,5.148721293,5.410520681,1.919862177,3.665191429,2
1,1.658062789,4.276056667,4.36332313,5.061454831,2
0,0.436332313,3.926990817,4.799655443,6.021385919,2
0,3.316125579,5.410520681,1.047197551,3.141592654,2
1,3.316125579,6.195918845,0,3.228859116,2
0,1.396263402,3.316125579,3.665191429,6.021385919,2
0,4.01425728,5.323254219,0.523598776,0.959931089,2
1,1.570796327,2.879793266,3.316125579,5.934119457,2
0,1.221730476,2.181661565,2.792526803,3.403392041,2
0,3.839724354,5.410520681,0.261799388,0.523598776,2
1,2.705260341,4.01425728,0.785398163,1.832595715,2
0,0.610865238,1.396263402,5.585053606,6.021385919,2
0,4.188790205,5.585053606,1.832595715,2.792526803,2
1,3.054326191,3.665191429,0.610865238,2.967059728,2
1,2.879793266,6.195918845,0.523598776,2.181661565,2
0,0.174532925,3.054326191,5.061454831,5.585053606,2
1,3.839724354,4.276056667,1.221730476,2.617993878,2
1,4.537856055,4.886921906,1.396263402,2.181661565,2
0,0.698131701,2.792526803,5.585053606,6.021385919,2
0,0,1.221730476,2.443460953,2.530727415,2
1,1.396263402,1.919862177,4.71238898,5.672320069,2
0,4.276056667,5.235987756,1.745329252,2.268928028,2
1,3.403392041,3.752457892,4.188790205,4.886921906,2
1,2.094395102,3.665191429,5.061454831,5.672320069,2
1,1.047197551,2.00712864,2.094395102,4.450589593,2
1,4.276056667,5.846852994,1.658062789,2.094395102,2
0,0.087266463,2.443460953,2.879793266,4.625122518,2
0,3.926990817,4.537856055,2.181661565,2.35619449,2
1,0,0.523598776,4.886921906,5.235987756,2
1,3.228859116,4.188790205,0.872664626,2.792526803,2
1,0,0.610865238,2.792526803,5.061454831,2
1,5.235987756,6.195918845,2.094395102,4.101523742,2
1,3.403392041,5.759586532,1.047197551,2.35619449,2
0,0.261799388,2.967059728,4.36332313,4.537856055,2
1,4.799655443,4.886921906,1.570796327,2.705260341,2
0,0.872664626,3.665191429,5.585053606,6.195918845,2
0,0.872664626,3.141592654,4.36332313,5.061454831,2
1,2.268928028,3.054326191,4.01425728,5.061454831,2
1,4.974188368,5.410520681,0.610865238,1.308996939,2
0,3.054326191,5.846852994,2.617993878,2.792526803,2
0,0.436332313,3.403392041,4.450589593,4.537856055,2
1,0.610865238,1.134464014,4.276056667,4.71238898,2
1,2.705260341,4.01425728,0.523598776,1.745329252,2
0,2.35619449,4.276056667,0.087266463,1.134464014,2
0,1.221730476,3.577924967,0.436332313,0.872664626,2
1,0.698131701,1.396263402,2.443460953,6.108652382,2
1,2.094395102,2.879793266,4.188790205,5.497787144,2
1,4.71238898,5.148721293,1.570796327,3.752457892,2
1,0.087266463,2.530727415,4.188790205,5.585053606,2
1,0.174532925,1.221730476,4.01425728,6.021385919,2
1,2.268928028,3.490658504,3.752457892,4.799655443,2
1,0.610865238,1.658062789,4.276056667,5.410520681,2
0,1.047197551,3.228859116,4.799655443,5.148721293,2
0,1.308996939,3.490658504,4.537856055,5.148721293,2
0,3.316125579,5.235987756,0.174532925,3.141592654,2
1,3.228859116,3.839724354,0.34906585,2.705260341,2
0,1.832595715,4.71238898,0,0.174532925,2
1,2.181661565,2.792526803,3.839724354,5.061454831,2
0,2.268928028,3.577924967,0.610865238,0.959931089,2
1,0.785398163,1.396263402,3.228859116,4.101523742,2
1,5.410520681,6.195918845,2.094395102,3.228859116,2
0,1.047197551,1.658062789,5.148721293,5.497787144,2
0,2.094395102,3.316125579,5.497787144,6.195918845,2
1,4.188790205,4.974188368,1.919862177,2.443460953,2
0,1.570796327,3.926990817,0.174532925,0.436332313,2
1,4.625122518,4.71238898,3.403392041,3.665191429,2
0,2.792526803,4.450589593,5.846852994,5.934119457,2
1,0.785398163,2.617993878,3.577924967,6.021385919,2
1,4.276056667,4.450589593,1.134464014,3.054326191,2
1,5.061454831,5.235987756,2.268928028,3.141592654,2
1,1.134464014,1.745329252,1.832595715,4.450589593,2
1,2.00712864,2.792526803,5.148721293,5.846852994,2
1,3.926990817,5.497787144,1.134464014,3.316125579,2
1,0.698131701,2.792526803,4.101523742,4.886921906,2
0,2.967059728,6.195918845,0,2.879793266,2
0,4.101523742,5.934119457,0.261799388,0.34906585,2
1,4.276056667,5.497787144,2.530727415,3.752457892,2
1,4.71238898,4.799655443,1.832595715,3.839724354,2
0,2.792526803,4.974188368,0,1.308996939,2
1,4.537856055,5.672320069,0.34906585,4.01425728,2
0,4.450589593,5.759586532,2.181661565,3.054326191,2
0,3.665191429,4.537856055,2.617993878,3.490658504,2
1,2.705260341,4.36332313,0.610865238,1.832595715,2
1,1.745329252,3.141592654,3.490658504,4.886921906,2
1,3.141592654,3.228859116,0,2.181661565,2
1,1.483529864,1.919862177,0.523598776,1.221730476,2
1,0,0.087266463,3.839724354,4.799655443,2
